id_vente,date,client_id,produit,categorie,region,canal,quantite,prix_unitaire,remise_pct,montant_total
VNT00001,2024-09-19,CLI0001,Clavier mécanique,Périphériques,Grand Est,Revendeur,14,89.99,0,1259.86
VNT00002,2024-09-07,CLI0020,Imprimante laser,Impression,Normandie,B2B Direct,8,349.99,15,2379.93
VNT00003,2024-01-13,CLI0120,Tablette graphique,Création,Grand Est,Magasin,8,249.99,0,1999.92
VNT00004,2024-01-10,CLI0118,Laptop Pro,Informatique,Île-de-France,B2B Direct,3,1299.99,15,3314.97
VNT00005,2024-04-26,CLI0123,Laptop Pro,Informatique,Bretagne,B2B Direct,15,1299.99,10,17549.86
VNT00006,2024-10-11,CLI0088,Souris sans fil,Périphériques,Provence-PACA,Magasin,5,39.99,20,159.96
VNT00007,2024-11-13,CLI0044,Imprimante laser,Impression,Île-de-France,Magasin,2,349.99,0,699.98
VNT00008,2024-06-09,CLI0173,Souris sans fil,Périphériques,Auvergne-Rhône-Alpes,B2B Direct,15,39.99,5,569.86
VNT00009,2024-04-03,CLI0176,Laptop Pro,Informatique,Provence-PACA,Magasin,1,1299.99,20,1039.99
VNT00010,2024-08-27,CLI0177,Laptop Pro,Informatique,Île-de-France,Revendeur,3,1299.99,15,3314.97
VNT00011,2024-02-17,CLI0128,Souris sans fil,Périphériques,Provence-PACA,Magasin,5,39.99,10,179.96
VNT00012,2024-10-29,CLI0027,Disque SSD 1TB,Stockage,Provence-PACA,Revendeur,3,99.99,15,254.97
VNT00013,2024-12-29,CLI0172,Laptop Pro,Informatique,Normandie,B2B Direct,11,1299.99,10,12869.9
VNT00014,2024-03-30,CLI0129,Casque audio,Audio,Île-de-France,En ligne,12,129.99,10,1403.89
VNT00015,2024-03-12,CLI0147,Laptop Pro,Informatique,Normandie,Revendeur,15,1299.99,5,18524.86
VNT00016,2024-06-29,CLI0104,Webcam HD,Vidéo,Hauts-de-France,B2B Direct,9,79.99,0,719.91
VNT00017,2024-06-10,CLI0020,Tablette graphique,Création,Bretagne,Revendeur,10,249.99,20,1999.92
VNT00018,2024-03-29,CLI0007,Laptop Pro,Informatique,Normandie,B2B Direct,10,1299.99,0,12999.9
VNT00019,2024-03-28,CLI0023,Hub USB-C,Connectique,Hauts-de-France,Revendeur,13,49.99,5,617.38
VNT00020,2024-03-31,CLI0040,Imprimante laser,Impression,Provence-PACA,Magasin,7,349.99,5,2327.43
VNT00021,2024-10-06,CLI0073,Écran 4K,Affichage,Île-de-France,B2B Direct,4,449.99,5,1709.96
VNT00022,2024-04-07,CLI0191,Souris sans fil,Périphériques,Provence-PACA,En ligne,8,39.99,5,303.92
VNT00023,2024-10-16,CLI0157,Tablette graphique,Création,Île-de-France,Revendeur,3,249.99,0,749.97
VNT00024,2024-09-26,CLI0138,Écran 4K,Affichage,Auvergne-Rhône-Alpes,Revendeur,14,449.99,0,6299.86
VNT00025,2024-10-24,CLI0006,Imprimante laser,Impression,Hauts-de-France,Revendeur,2,349.99,10,629.98
